protein1,protein2,in_solution,cost
ADAM9,MAD2L2,True,0.281077
ITIH4,GRB2,True,0.594442
ITIH4,TP63,True,0.594442
SMARCA2,ESR1,,0.594442
SMARCA2,NR3C1,,0.598835
SMARCA2,MYB,,0.561127
SMARCA2,AR,,0.407758
SMARCA2,HDAC2,,0.312498
SMARCA2,CEBPB,True,0.189069
SMARCA2,CREBBP,,0.598835
SMARCA2,PHB,,0.410771
SMARCA2,RELA,,0.73224
SMARCA2,EP300,,0.598835
SMARCA2,HIF1A,,0.73224
SMARCA2,HDAC1,,0.436465
SMARCA2,ETS1,,0.598835
SMARCA2,SMARCC2,True,0.0918466
SMARCA2,NR4A2,,0.45648
SMARCA2,SAP30,,0.598835
SMARCA2,CEBPA,,0.45648
SMARCA2,EPAS1,,0.598835
MSX2,NR3C1,True,0.594442
MSX2,PPARG,True,0.594442
MSX2,CEBPA,True,0.538056
S100B,ANXA6,True,0.561127
S100B,TP53,,0.561127
S100B,S100A6,True,0.246307
ERG,PARP1,True,0.296056
ERG,AR,,0.298244
ERG,JUN,,0.561127
ERG,ETS2,True,0.381203
ERG,FLI1,,0.85922
SKI,ESR1,,0.598835
SKI,MYB,,0.45648
SKI,RARA,,0.378985
SKI,TP53,,0.598835
SKI,JUN,,0.571676
SKI,SMAD4,True,0.0249355
SKI,HDAC3,,0.221602
SKI,RB1,,0.598835
SKI,SMAD3,True,0.0331915
SKI,SIRT1,,0.598835
ADAM28,ITGA4,True,0.85922
FSTL1,TGFB1,True,0.45648
PPARG,ESR1,,0.561127
PPARG,NCOR2,,0.0770205
PPARG,NR3C1,,0.598835
PPARG,NFKB1,,0.45648
PPARG,IKBKB,,0.690083
PPARG,CEBPB,,0.391484
PPARG,TCF4,,0.598835
PPARG,CREBBP,,0.116066
PPARG,JUN,,0.690083
PPARG,ESR2,,0.561127
PPARG,NCOA1,True,0.0251322
PPARG,CIITA,,0.598835
PPARG,JUND,,0.561127
PPARG,RELA,,0.123965
PPARG,EP300,,0.0429005
PPARG,HDAC1,,0.45648
PPARG,RXRA,,0.0185164
PPARG,HDAC3,,0.159791
PPARG,NR4A2,,0.690083
PPARG,VDR,,0.45648
PPARG,RB1,,0.45648
PPARG,SMAD3,,0.598835
PPARG,CTNNB1,,0.298244
PPARG,STAT6,,0.45648
PPARG,NCOA3,True,0.0791146
PPARG,SP1,,0.214171
PPARG,RXRG,,0.598835
VDR,NCOR2,,0.393241
VDR,TP53,,0.537305
VDR,HDAC2,,0.598835
VDR,POU2F1,,0.561127
VDR,CREBBP,,0.44596
VDR,JUN,,0.561127
VDR,NCOA1,,0.107499
VDR,LEF1,,0.598835
VDR,EP300,,0.73224
VDR,PPP1CA,,0.85922
VDR,RXRA,True,0.0180814
VDR,RB1,,0.561127
VDR,SMAD3,,0.458237
VDR,FOS,,0.561127
VDR,CEBPA,,0.598835
VDR,NCOA3,True,0.121202
VDR,SIRT1,,0.45648
VDR,RXRG,,0.413476
VDR,RUNX1,,0.45648
SPP1,PARP1,,0.598835
SPP1,IGFBP5,True,0.561127
SPP1,EPAS1,True,0.594442
MAD2L1,MAD2L2,,0.474993
MAD2L1,ADAM17,True,0.233589
MAD2L1,ESR2,,0.451021
MAD2L1,ADAM10,True,0.598835
MAD2L1,CDC20,True,0.0088398
MAD2L1,MAD1L1,True,0.0390978
SEMA4B,DLG4,True,0.830932
PDCD6,TP53,,0.598835
PDCD6,ITGA4,,0.598835
PDCD6,PDCD6IP,True,0.087986
PDCD6,TSG101,,0.598835
PDCD6,ANXA11,True,0.180802
TP53,ESR1,,0.391484
TP53,ANXA2,,0.561127
TP53,PARP1,,0.133237
TP53,COPS7A,,0.85922
TP53,CEBPZ,,0.45648
TP53,NR3C1,,0.332937
TP53,CREB1,,0.249941
TP53,COPS3,,0.85922
TP53,PCNA,,0.598835
TP53,AR,,0.63215
TP53,NFKBIA,,0.472754
TP53,IKBKB,,0.391484
TP53,HDAC2,,0.117085
TP53,CEBPB,,0.443981
TP53,CHUK,,0.598835
TP53,TCF4,,0.561127
TP53,CREBBP,,0.0194858
TP53,DNMT1,,0.410771
TP53,NCOA1,,0.458237
TP53,PHB,,0.38093
TP53,ETS2,,0.598835
TP53,RELA,,0.598835
TP53,EP300,,0.005018
TP53,E2F1,,0.830932
TP53,HIF1A,,0.214171
TP53,HDAC1,,0.0305397
TP53,PPP1CA,,0.594442
TP53,S100A8,,0.594442
TP53,ETS1,,0.410771
TP53,HDAC3,,0.830932
TP53,RB1,,0.598835
TP53,ING4,True,0.0566297
TP53,SMAD3,,0.270109
TP53,TSG101,,0.598835
TP53,SP3,,0.598835
TP53,CCNA2,,0.561127
TP53,STAT6,,0.594442
TP53,NCOA3,,0.561127
TP53,SP1,,0.0448072
TP53,LAMA4,True,0.427045
TP53,SIRT1,,0.0375543
TP53,EGR1,,0.249941
PCOLCE,LTBP1,,0.441963
PCOLCE,PLG,True,0.370243
PCOLCE,B2M,True,0.242305
PCOLCE,COL3A1,,0.85922
SKP2,ESR1,,0.45648
SKP2,MYB,,0.85922
SKP2,AR,,0.537305
SKP2,PHB,,0.475767
SKP2,SMAD4,,0.332937
SKP2,EP300,,0.410771
SKP2,E2F1,True,0.136491
SKP2,RB1,,0.571676
SKP2,CCNA2,,0.131905
SKP2,CEBPA,,0.594442
SKP2,CDC20,,0.410771
SKP2,SP1,,0.598835
MYB,PARP1,,0.598835
MYB,CEBPB,,0.654948
MYB,GATA3,True,0.598835
MYB,CREBBP,True,0.0804
MYB,LEF1,True,0.598835
MYB,EP300,,0.226952
SP3,ESR1,,0.441963
SP3,HDAC2,True,0.298244
SP3,CEBPB,True,0.598835
SP3,CREBBP,,0.598835
SP3,DNMT1,True,0.598835
SP3,RELA,,0.598835
SP3,EP300,,0.256637
SP3,E2F1,True,0.441751
SP3,HDAC1,True,0.115227
SP3,RB1,,0.85922
SP3,SP1,True,0.111007
HDAC3,ESR1,,0.472309
HDAC3,PARP1,,0.45648
HDAC3,NCOR2,True,0.0246081
HDAC3,RARA,,0.561127
HDAC3,NFKB1,,0.472309
HDAC3,AR,,0.391484
HDAC3,NFKBIA,,0.520073
HDAC3,GATA3,,0.598835
HDAC3,CREBBP,,0.449051
HDAC3,DNMT1,,0.598835
HDAC3,JUN,,0.585069
HDAC3,STAT3,,0.298244
HDAC3,RELA,,0.344359
HDAC3,EP300,,0.220473
HDAC3,HIF1A,,0.323872
HDAC3,HDAC1,,0.794225
HDAC3,IL16,True,0.45648
HDAC3,RXRA,,0.561127
HDAC3,SRF,,0.598835
HDAC3,SAP30,,0.598835
HDAC3,RB1,,0.292407
HDAC3,CEBPD,,0.391484
HDAC3,SP1,,0.598835
NCOR2,ESR1,,0.185234
NCOR2,PPARA,,0.353669
NCOR2,NR3C1,,0.399837
NCOR2,RARA,True,0.0465326
NCOR2,NFKB1,,0.646972
NCOR2,AR,,0.0495339
NCOR2,NFKBIA,,0.410771
NCOR2,HDAC2,,0.436465
NCOR2,CEBPB,,0.45648
NCOR2,POU2F1,,0.306909
NCOR2,CHUK,,0.370243
NCOR2,CREBBP,,0.598835
NCOR2,JUN,,0.458237
NCOR2,ESR2,,0.598835
NCOR2,RELA,,0.222577
NCOR2,EP300,,0.598835
NCOR2,E2F1,,0.475767
NCOR2,HDAC1,,0.305968
NCOR2,RXRA,,0.167174
NCOR2,SRF,,0.451021
NCOR2,NR4A2,,0.598835
NCOR2,SAP30,,0.572837
NCOR2,FOS,,0.419331
NCOR2,NCOA3,,0.384055
NCOR2,SP1,,0.398358
NCOR2,SIRT1,,0.85922
NR4A2,RARA,True,0.458237
NR4A2,RXRA,,0.594442
NR4A2,RUNX1,True,0.598835
ADAM17,MAD2L2,,0.830932
ADAM17,PDIA3,,0.45648
ADAM17,DLG1,True,0.33231
PLCG1,AR,,0.561127
PLCG1,SERPINC1,,0.598835
PLCG1,GRB2,,0.241902
PLCG1,PDGFRB,True,0.0765905
PLCG1,FGFR1,True,0.128118
DNMT3A,DNMT1,True,0.332937
DNMT3A,HDAC1,,0.332937
DNMT3A,RB1,,0.561127
DNMT3A,UHRF1,True,0.286822
DNMT3A,DNMT3L,True,0.126546
NFIC,PARP1,True,0.598835
NFIC,CREBBP,,0.85922
NFIC,SMAD3,,0.598835
SEMA4C,DLG4,True,0.398358
SEMA4C,KRT40,True,0.392016
SEMA4C,DLG1,True,0.717078
PCNA,ANXA2,,0.410771
PCNA,PARP1,,0.13331
PCNA,HLA-B,,0.598835
PCNA,ATF2,,0.598835
PCNA,DNMT1,True,0.0533604
PCNA,POLH,True,0.0271952
PCNA,RELA,,0.598835
PCNA,EP300,,0.148693
PCNA,HDAC1,,0.322417
PCNA,PPP1CA,,0.830932
PCNA,CCNA2,,0.598835
PCNA,SIRT1,,0.561127
AR,ESR1,,0.85922
AR,NR3C1,,0.73985
AR,NFKB1,,0.830932
AR,CEBPB,,0.561127
AR,POU2F1,,0.561127
AR,ATF2,,0.85922
AR,TCF4,,0.45648
AR,CREBBP,,0.156008
AR,JUN,,0.410771
AR,NCOA1,True,0.0716565
AR,PHB,,0.598835
AR,STAT3,,0.286822
AR,JUND,,0.492041
AR,SMAD4,,0.45648
AR,RELA,,0.830932
AR,GRB2,,0.561127
AR,EP300,,0.214171
AR,E2F1,,0.598835
AR,HIF1A,,0.598835
AR,HDAC1,,0.256084
AR,FOXA1,True,0.410771
AR,ETS1,,0.472309
AR,ADAM10,,0.598835
AR,RB1,,0.244854
AR,SMAD3,,0.188961
AR,CTNNB1,,0.0541978
AR,TSG101,,0.471546
AR,CEBPA,,0.561127
AR,YWHAH,,0.654948
AR,NCOA3,,0.188966
AR,SP1,,0.410771
AR,SIRT1,,0.388868
S100A9,S100A8,True,0.13909
S100A9,USF2,True,0.598835
NCOA3,ESR1,,0.0177882
NCOA3,ANXA2,,0.598835
NCOA3,PPARA,,0.561127
NCOA3,NR3C1,,0.308094
NCOA3,RARA,True,0.0690365
NCOA3,NFKB1,,0.598835
NCOA3,IKBKB,,0.270816
NCOA3,NKX2-1,True,0.594442
NCOA3,CHUK,True,0.168826
NCOA3,CREBBP,,0.0420442
NCOA3,JUN,,0.830932
NCOA3,ESR2,True,0.0709818
NCOA3,NCOA1,,0.598835
NCOA3,ETS2,True,0.598835
NCOA3,RELA,,0.598835
NCOA3,EP300,True,0.0647062
NCOA3,E2F1,,0.34554
NCOA3,ETS1,,0.598835
NCOA3,RXRA,,0.154418
NCOA3,SMAD3,,0.598835
NCOA3,FOS,,0.45648
NCOA3,STAT6,,0.598835
NCOA3,YWHAH,,0.85922
FLI1,SRF,True,0.561127
FLI1,SMAD3,,0.594442
S100A8,ESR1,True,0.598835
COL3A1,SP1,True,0.598835
COL3A1,PDGFB,True,0.441963
IGFBP3,LTBP1,True,0.763579
IGFBP3,PLG,True,0.475111
IGFBP3,RXRA,True,0.414959
IGFBP3,IGF1,True,0.0968975
CDC20,MAD2L2,,0.292014
CDC20,PBRM1,,0.598835
CDC20,HDAC2,,0.501461
CDC20,CREBBP,,0.410771
CDC20,EP300,,0.598835
CDC20,E2F1,,0.598835
CDC20,HDAC1,,0.491712
CDC20,CCNA2,True,0.0898594
CDC20,FGFR1,,0.598835
HDAC2,ESR1,,0.410771
HDAC2,PARP1,,0.332937
HDAC2,NR3C1,,0.598835
HDAC2,CREB1,,0.410771
HDAC2,RARA,,0.378985
HDAC2,KLF5,,0.537305
HDAC2,NFKB1,,0.598835
HDAC2,NFKBIA,,0.598835
HDAC2,CREBBP,,0.410771
HDAC2,DNMT1,,0.188966
HDAC2,STAT3,,0.598835
HDAC2,CIITA,True,0.243823
HDAC2,RELA,,0.0633982
HDAC2,HIF1A,,0.561127
HDAC2,HDAC1,,0.0145919
HDAC2,SMARCC2,,0.598835
HDAC2,SAP30,True,0.0670981
HDAC2,RB1,,0.125992
HDAC2,CEBPA,,0.598835
HDAC2,UHRF1,,0.598835
HDAC2,SP1,,0.0581152
HDAC2,SIRT1,,0.598835
HDAC2,MAD1L1,,0.501461
HDAC2,RUNX1,,0.410771
FGF1,S100A13,True,0.410116
FGF1,FGFR1,True,0.0935728
PHB,ESR1,,0.561127
PHB,ANXA2,,0.398358
PHB,PARP1,,0.598835
PHB,PBRM1,,0.598835
PHB,ATF2,,0.598835
PHB,ITGA4,,0.598835
PHB,RELA,,0.598835
PHB,E2F1,True,0.10897
PHB,HDAC1,,0.210129
PHB,ADAM10,True,0.598835
PHB,RB1,,0.185171
PHB,FOS,,0.73224
PHB,EPAS1,,0.598835
ADAM10,PDIA3,,0.45648
ADAM10,GRB2,,0.598835
ADAM10,DLG1,,0.598835
PDGFRB,STAT3,,0.598835
PDGFRB,PDCD6IP,,0.598835
PDGFRB,GRB2,,0.268062
PDGFRB,MFGE8,True,0.598835
PDGFRB,KDR,,0.598835
PDGFRB,PDGFB,True,0.0717395
DCN,FGF2,True,0.561127
DCN,TGFB1,True,0.270413
VCAN,ITGA4,True,0.85922
VCAN,FBLN2,True,0.561127
VCAN,MMP9,True,0.561127
GATA3,ETS2,,0.830932
GATA3,ETS1,,0.830932
GATA3,SP1,True,0.45648
LTBP1,TGFB1,True,0.358476
LEF1,SMAD4,,0.561127
LEF1,EP300,,0.388868
LEF1,E2F1,,0.598835
LEF1,HDAC1,,0.598835
LEF1,RB1,,0.63215
LEF1,SMAD3,True,0.275428
LEF1,CTNNB1,True,0.0332192
COPS7A,COPS3,True,0.0855789
COPS7A,IKBKB,,0.472754
COPS7A,PPBP,True,0.452941
COPS7A,JUN,,0.561127
FOSL1,ATF2,,0.484455
FOSL1,CREBBP,,0.598835
FOSL1,JUN,True,0.10104
FOSL1,JUND,,0.85922
FOSL1,EP300,,0.391484
FOSL1,LDOC1,True,0.279626
FOSL1,HDAC1,,0.598835
FOSL1,CEBPA,True,0.561127
FOSL1,USF1,True,0.228401
RXRA,ESR1,,0.561127
RXRA,PPARA,True,0.121151
RXRA,PARP1,,0.85922
RXRA,RARA,,0.0237706
RXRA,NFKB1,,0.549451
RXRA,POU2F1,,0.370243
RXRA,ESR2,,0.561127
RXRA,NCOA1,,0.0571239
RXRA,RELA,,0.391484
RXRA,EP300,,0.598835
RXRA,SRF,,0.73985
RXRA,CTNNB1,,0.410771
RXRA,SP1,,0.391484
PBRM1,SMARCC2,True,0.298244
PBRM1,TCHHL1,True,0.654948
PBRM1,SMARCC1,True,0.410771
CHUK,ESR1,,0.73224
CHUK,COPS3,,0.598835
CHUK,NFKB1,,0.322417
CHUK,NFKBIA,True,0.00870204
CHUK,IKBKB,,0.0235965
CHUK,CREBBP,,0.232915
CHUK,RELA,,0.0713959
CHUK,EP300,,0.73224
CHUK,PPP1CA,,0.598835
CHUK,SMAD3,,0.598835
CHUK,CTNNB1,,0.323872
UHRF1,PARP1,,0.45648
UHRF1,DNMT1,True,0.0328129
UHRF1,HDAC1,,0.221602
UHRF1,RB1,,0.598835
HIF1A,ESR1,,0.598835
HIF1A,PARP1,,0.598835
HIF1A,EGLN1,True,0.11093
HIF1A,CREBBP,,0.0440061
HIF1A,JUN,,0.410771
HIF1A,NCOA1,,0.561127
HIF1A,STAT3,,0.410771
HIF1A,RELA,,0.598835
HIF1A,EP300,True,0.0109625
HIF1A,HDAC1,,0.138546
HIF1A,RB1,,0.419206
HIF1A,SMAD3,,0.316224
HIF1A,CTNNB1,,0.598835
HIF1A,EPAS1,,0.598835
HIF1A,SP1,,0.233609
PARP1,ESR1,,0.410771
PARP1,RARA,,0.585069
PARP1,NFKB1,,0.305598
PARP1,IKBKB,,0.598835
PARP1,POU2F1,,0.73985
PARP1,TCF4,,0.85922
PARP1,CREBBP,,0.561127
PARP1,DNMT1,,0.598835
PARP1,JUN,,0.598835
PARP1,ITGA4,,0.598835
PARP1,RELA,,0.243823
PARP1,EP300,,0.114078
PARP1,E2F1,,0.300183
PARP1,HDAC1,,0.243823
PARP1,CTNNB1,,0.598835
PARP1,CEBPA,,0.397933
PARP1,SP1,,0.45648
PARP1,SIRT1,,0.388868
PARP1,USF1,,0.598835
MAZ,JUN,True,0.45648
MAZ,FOS,True,0.45648
ETS1,NR3C1,,0.85922
ETS1,NFKB1,,0.598835
ETS1,ATF2,,0.561127
ETS1,CREBBP,,0.17137
ETS1,JUN,True,0.376967
ETS1,ETS2,True,0.542247
ETS1,JUND,,0.598835
ETS1,EP300,,0.432548
ETS1,SMAD3,,0.598835
ETS1,FOS,,0.85922
ETS1,EPAS1,,0.598835
ETS1,STAT6,,0.85922
ETS1,SP1,,0.85922
ETS1,RUNX1,,0.561127
MMP9,PLG,,0.85922
MMP9,TGFB1,,0.391484
MMP9,THBS2,True,0.533732
MMP9,CXCL8,,0.85922
CD1A,B2M,True,0.376967
RARA,ESR1,,0.674854
RARA,NR3C1,,0.763579
RARA,KLF5,True,0.50668
RARA,NKX2-1,True,0.444259
RARA,POU2F1,,0.549451
RARA,CREBBP,,0.410771
RARA,NCOA1,,0.0489447
RARA,EP300,,0.410771
RARA,E2F1,,0.45648
RARA,HDAC1,,0.561127
RARA,CEBPA,,0.45648
RARA,SP1,,0.227185
RARA,SIRT1,,0.45648
RARA,RXRG,True,0.123848
RARA,RUNX1,,0.598835
FOXM1,CREBBP,,0.598835
FOXM1,STAT3,,0.85922
FOXM1,RB1,,0.598835
FOXM1,SMAD3,,0.45648
FOXM1,CTNNB1,True,0.34472
FOXM1,SP1,True,0.429349
PLG,ANXA2,,0.585069
PLG,SERPINC1,True,0.85922
PLG,SMAD4,,0.594442
PLG,LAMA1,True,0.561127
PLG,RELA,,0.598835
PLG,EP300,,0.594442
PLG,SMAD3,,0.594442
SMARCC2,ESR1,,0.598835
SMARCC2,CREBBP,,0.598835
SMARCC2,GRB2,,0.598835
SMARCC2,HDAC1,,0.598835
SMARCC2,SMAD3,,0.598835
SMARCC2,TSG101,,0.63215
SMARCC2,EPAS1,,0.598835
SMARCC2,SP1,,0.561127
JUN,ESR1,,0.391484
JUN,NR3C1,,0.426945
JUN,CREB1,,0.598835
JUN,COPS3,,0.561127
JUN,IKBKB,,0.561127
JUN,ATF2,,0.0471359
JUN,TCF4,,0.830932
JUN,CREBBP,,0.0679733
JUN,NCOA1,,0.24053
JUN,STAT3,,0.45648
JUN,ETS2,True,0.413127
JUN,JUND,,0.85922
JUN,SMAD4,,0.85922
JUN,RELA,,0.594442
JUN,EP300,,0.0492886
JUN,ETV4,True,0.594442
JUN,HDAC1,,0.598835
JUN,RB1,,0.261191
JUN,SMAD3,,0.123965
JUN,TSG101,,0.472754
JUN,FOS,True,0.00972444
JUN,CEBPA,,0.598835
JUN,EPAS1,,0.561127
JUN,STAT6,,0.598835
JUN,YWHAH,,0.85922
JUN,SP1,,0.243823
JUN,SIRT1,,0.243823
JUN,EGR1,,0.830932
JUN,RUNX1,,0.323872
SERPINC1,F9,True,0.561127
SRF,CREB1,,0.765937
SRF,NFKB1,,0.561127
SRF,CEBPB,True,0.277056
SRF,CREBBP,,0.33141
SRF,RELA,,0.561127
SRF,ETV4,,0.85922
SRF,SP1,,0.561127
SRF,RXRG,,0.561127
TNC,SMOC1,True,0.388112
HSPG2,FGF2,,0.484455
HSPG2,LAMA1,,0.549451
HSPG2,GRB2,,0.598835
HSPG2,FBLN2,True,0.376967
HSPG2,LTBP2,True,0.561127
HSPG2,KDR,True,0.227975
HSPG2,PDGFB,,0.561127
HSPG2,ATF7IP,,0.763579
ANXA11,CEP55,True,0.443583
ANXA11,S100A6,True,0.426945
JUND,ESR1,,0.85922
JUND,ATF2,,0.85922
JUND,SMAD4,,0.85922
JUND,EP300,,0.286822
JUND,SMAD3,,0.561127
JUND,FOS,True,0.206132
JUND,SIRT1,,0.598835
GREM1,YWHAH,True,0.382018
GREM1,KDR,True,0.45648
FOS,ESR1,,0.598835
FOS,NFKB1,,0.85922
FOS,ATF2,True,0.0607382
FOS,CREBBP,,0.391484
FOS,NCOA1,,0.217781
FOS,ETS2,,0.561127
FOS,RELA,,0.594442
FOS,EP300,,0.391484
FOS,ZFP91,True,0.598835
FOS,RB1,,0.484455
FOS,SMAD3,,0.333363
FOS,CEBPA,,0.561127
FOS,SIRT1,,0.441963
FOS,USF2,,0.443583
FOS,USF1,,0.392016
FOS,RUNX1,,0.323872
ANXA2,ESR1,,0.598835
ANXA2,HLA-B,,0.598835
ANXA2,ITGA4,True,0.598835
ANXA2,GRB2,,0.410771
ANXA2,EP300,,0.598835
ANXA2,STAT6,True,0.381977
ANXA2,SP1,,0.598835
ANXA2,PLAT,True,0.561127
ANXA2,S100A6,,0.85922
CEBPZ,RELA,,0.598835
CEBPZ,STAT6,True,0.594442
CEBPZ,RXRG,,0.594442
MAD2L2,TCF4,True,0.443583
RELA,ESR1,,0.216741
RELA,PPARA,,0.561127
RELA,NR3C1,,0.277756
RELA,NFKB1,,0.0184024
RELA,NFKBIA,True,0.0089825
RELA,IKBKB,,0.198617
RELA,NKX2-1,,0.598835
RELA,CEBPB,,0.286822
RELA,POU2F1,,0.45648
RELA,TCF4,,0.443583
RELA,CREBBP,,0.024565
RELA,STAT3,,0.249941
RELA,SMAD4,,0.492989
RELA,EP300,,0.0239108
RELA,HDAC1,,0.043955
RELA,CEBPD,,0.561127
RELA,ING4,True,0.188961
RELA,SMAD3,,0.594442
RELA,CTNNB1,,0.598835
RELA,STAT6,,0.85922
RELA,SP1,,0.117085
RELA,SIRT1,,0.289938
RELA,EGR1,,0.561127
RELA,USF2,,0.594442
RELA,PPP1R13L,True,0.290969
RELA,CXCL8,,0.598835
RELA,TP63,,0.598835
DLG4,GRB2,,0.598835
DLG4,DLG1,,0.598835
NFKBIA,COPS3,,0.598835
NFKBIA,NFKB1,True,0.0346129
NFKBIA,IKBKB,True,0.0132199
NFKBIA,HDAC1,,0.520073
STAT3,ESR1,,0.598835
STAT3,NR3C1,,0.391484
STAT3,NFKB1,,0.45648
STAT3,CEBPB,,0.598835
STAT3,CREBBP,,0.391484
STAT3,PDIA3,,0.598835
STAT3,DNMT1,,0.537305
STAT3,NCOA1,True,0.332937
STAT3,EP300,,0.0697257
STAT3,HDAC1,,0.209129
STAT3,PPP1CA,,0.832846
STAT3,RB1,,0.429349
STAT3,STAT6,,0.594442
STAT3,FGFR1,,0.598835
STAT3,SP1,,0.298244
STAT3,SIRT1,,0.598835
STAT3,NFKBIZ,True,0.344603
LDOC1,MFAP1,True,0.392016
CREBBP,ESR1,,0.062125
CREBBP,NR3C1,,0.240052
CREBBP,CREB1,True,0.0166449
CREBBP,KLF5,,0.549451
CREBBP,IKBKB,,0.472754
CREBBP,NKX2-1,,0.386025
CREBBP,CEBPB,,0.549451
CREBBP,ATF2,,0.125926
CREBBP,ESR2,,0.598835
CREBBP,NCOA1,,0.185234
