,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
REV1,0.0,,False,protein,18,0.0035557468672652915,2,nucleus,metabolic process,nitrogen compound metabolic process,binding,protein binding
GLI1,2.73035,TF,True,protein,24,2.630886608787161e-05,3,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SKIL,0.0,,False,protein,105,0.011872180421276997,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
ADAM9,4.3664,ECM Regulators,True,protein,13,0.0,1,plasma_membrane,response to stimulus,response to chemical,binding,protein binding
ITIH4,2.5331,ECM Regulators,True,protein,6,0.0,0,extracellular,response to stimulus,response to stress,molecular function regulator,enzyme regulator
SMARCA2,0.0,,False,protein,99,0.0038526888870492747,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
MSX2,4.5377,TF,True,protein,21,5.249169816930623e-05,3,nucleus,developmental process,anatomical structure development,binding,organic cyclic compound binding
S100B,0.0,,False,protein,32,0.02203806015960712,1,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
ERG,5.2331,TF,True,protein,81,0.0007212207982614529,4,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SKI,0.0,,False,protein,46,0.001169422177185436,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
ADAM28,2.7527,ECM Regulators,True,protein,1,0.0,2,plasma_membrane,reproduction,sexual reproduction,catalytic,hydrolase
FSTL1,4.2743,Secreted Factors,True,protein,14,0.011049723756906079,2,extracellular,cellular process,cell communication,binding,protein binding
PPARG,4.561475,TF,True,protein,138,0.021238776965646678,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
VDR,3.5257333333333336,TF,True,protein,100,0.005603570578305581,3,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SPP1,12.6084,ECM Glycoproteins,True,protein,81,0.007439219352104545,4,extracellular,cellular process,cellular component organization,binding,protein binding
MAD2L1,0.0,,False,protein,47,0.008458673209431727,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
SEMA4B,7.1519,ECM-affiliated Proteins,True,protein,4,0.0,1,extracellular,cellular process,cellular developmental process,binding,protein binding
PDCD6,0.0,,False,protein,53,0.01170668952915109,6,ER,biological regulation,regulation of biological process,binding,protein binding
TP53,0.0,,False,protein,872,0.10297494060032449,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
PCOLCE,0.0,,False,protein,17,0.016290771902063086,2,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
SKP2,0.0,,False,protein,117,0.01151038187597682,0,protein complex,cellular process,cell cycle,catalytic,transferase
MYB,2.7361499999999994,TF,True,protein,72,0.0006463192518899317,3,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
SP3,3.448383333333333,TF,True,protein,33,0.0002427897999475084,3,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
HDAC3,0.0,,False,protein,204,0.017391054641316645,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
NCOR2,0.0,,False,protein,109,0.008914591135107163,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
NR4A2,5.01595,TF,True,protein,27,2.216765568515108e-05,6,nucleus,cellular process,cellular response to stimulus,binding,protein binding
ADAM17,3.0916,ECM Regulators,True,protein,23,0.003114575742808819,1,plasma_membrane,biological regulation,regulation of biological process,catalytic,hydrolase
PLCG1,0.0,,False,protein,202,0.007071910066948846,6,plasma_membrane,cellular process,cellular response to stimulus,binding,protein binding
DNMT3A,3.540366666666667,TF,True,protein,52,0.00018180578033248388,3,nucleus,cellular process,cellular response to stimulus,binding,protein binding
NFIC,2.86885,TF,True,protein,16,4.942877871054668e-05,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
SEMA4C,3.789,ECM-affiliated Proteins,True,protein,12,0.0,1,vesicle,cellular process,cellular developmental process,binding,protein binding
PCNA,0.0,,False,protein,253,0.029764320575221166,0,nucleus,cellular process,cellular response to stimulus,binding,protein binding
AR,0.0,,False,protein,329,0.048131674568335184,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
S100A9,2.1673,Secreted Factors,True,protein,74,0.0,6,extracellular,cellular process,cellular response to stimulus,binding,protein binding
ANGPTL2,6.3126,Secreted Factors,True,protein,1,0.0,5,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
NCOA3,6.176399999999999,TF,True,protein,108,0.01120622524921339,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
FLI1,3.3696333333333333,TF,True,protein,21,0.0007985716631339622,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
S100A8,0.0,,False,protein,44,0.010582010582010581,4,extracellular,response to stimulus,response to stress,binding,protein binding
COL3A1,3.4631,Collagens,True,protein,15,0.00580730458982268,2,extracellular,cellular process,cellular component organization,binding,protein binding
IGFBP3,6.5038,ECM Glycoproteins,True,protein,39,0.0030087479865672914,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
CDC20,0.0,,False,protein,129,0.017855694521771107,0,cytoskeleton,cellular process,cell cycle,binding,protein binding
POLH,0.0,,False,protein,20,0.0,2,nucleus,response to stimulus,response to stress,binding,protein binding
HDAC2,3.0963333333333334,TF,True,protein,295,0.021706744896150074,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
FGF1,2.1371,Secreted Factors,True,protein,15,0.011049723756906079,2,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
PHB,0.0,,False,protein,105,0.017018869568077067,0,mitochondria,biological regulation,regulation of biological process,binding,protein binding
ADAM10,2.1332,ECM Regulators,True,protein,25,0.011810246936273876,1,plasma_membrane,cellular process,cell communication,catalytic,hydrolase
PDGFRB,0.0,,False,protein,94,0.01634225657668103,2,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
DCN,5.6528,Proteoglycans,True,protein,34,0.0011981690259964617,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
VCAN,4.2884,Proteoglycans,True,protein,26,0.0027885210251166704,2,extracellular,cellular process,cell recognition,binding,protein binding
GATA3,4.57615,TF,True,protein,23,0.00021575146424621808,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
LTBP1,3.0163,ECM Glycoproteins,True,protein,12,0.002977287009623701,2,extracellular,cellular process,cell communication,binding,protein binding
LEF1,5.7479,TF,True,protein,46,0.0012993130380337175,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
COPS7A,0.0,,False,protein,54,0.01059440029280778,4,nucleus,metabolic process,nitrogen compound metabolic process,binding,protein binding
S100A13,5.3338,Secreted Factors,True,protein,14,0.0,2,extracellular,cellular process,secretion by cell,binding,protein binding
FOSL1,3.72795,TF,True,protein,31,0.007329876616479168,6,nucleus,response to stimulus,response to external stimulus,transcription regulator,DNA-binding transcription factor
RXRA,0.0,,False,protein,124,0.010024561591748844,1,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
PBRM1,0.0,,False,protein,31,0.011049723756906079,0,nucleus,cellular process,cellular component organization,binding,chromatin binding
CHUK,0.0,,False,protein,152,0.0016670472914627464,4,protein complex,response to stimulus,response to chemical,binding,protein binding
UHRF1,0.0,,False,protein,36,0.00031356540550959386,0,,cellular process,cellular component organization,binding,protein binding
HIF1A,4.47042,TF,True,protein,136,0.00826284619908099,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
PARP1,5.3787,TF,True,protein,221,0.03888289500817334,4,nucleus,cellular process,cellular response to stimulus,binding,protein binding
MAZ,3.342766666666666,TF,True,protein,8,0.0,6,nucleus,metabolic process,nitrogen compound metabolic process,binding,organic cyclic compound binding
ETS1,3.70625,TF,True,protein,95,0.0033187692874311627,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
MMP9,0.0,,False,protein,41,0.01695386284892016,2,extracellular,biological regulation,regulation of biological process,catalytic,hydrolase
CD1A,0.0,,False,protein,5,0.011049723756906079,2,plasma_membrane,immune system process,antigen processing and presentation,binding,protein binding
RARA,2.2432000000000003,TF,True,protein,138,0.007648950834441762,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
FOXM1,5.93,TF,True,protein,33,0.00018086881988266907,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
PLG,4.0519,ECM Regulators,True,protein,66,0.07626729563438997,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
SMARCC2,0.0,,False,protein,97,0.009957532592641203,0,nucleus,cellular process,cellular component organization,binding,organic cyclic compound binding
JUN,4.028033333333333,TF,True,protein,244,0.03536996627689278,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
ANXA6,2.0781,ECM-affiliated Proteins,True,protein,30,0.0,1,vesicle,cellular process,cellular component organization,binding,protein binding
SERPINC1,2.9046,ECM Regulators,True,protein,6,0.011049723756906079,2,extracellular,biological regulation,regulation of biological quality,binding,protein binding
TSKU,4.0278,ECM Glycoproteins,True,protein,1,0.0,2,plasma_membrane,multicellular organismal process,multicellular organism development,,
SRF,3.24992,TF,True,protein,77,0.0023518825184895564,4,nucleus,developmental process,anatomical structure development,binding,protein binding
TNC,4.879,ECM Glycoproteins,True,protein,14,0.0,1,extracellular,cellular process,cellular component organization,binding,protein binding
HSPG2,0.0,,False,protein,39,0.027789192375324612,2,extracellular,metabolic process,organic substance metabolic process,binding,protein binding
MFGE8,2.4303,ECM Glycoproteins,True,protein,2,0.0,2,extracellular,cellular process,cell recognition,binding,lipid binding
ANXA11,2.0361,ECM-affiliated Proteins,True,protein,25,0.003873697950721026,1,nucleus,cellular process,cell cycle,binding,protein binding
JUND,2.3355,TF,True,protein,44,0.0007310731490706017,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
GREM1,3.251,ECM-affiliated Proteins,True,protein,3,0.0,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
FOS,3.5987142857142853,TF,True,protein,176,0.019308303872507284,6,nucleus,response to stimulus,response to chemical,binding,protein binding
ANXA2,2.4499,ECM-affiliated Proteins,True,protein,98,0.10038673618918117,2,vesicle,biological regulation,regulation of biological process,binding,protein binding
CEBPZ,5.2982,TF,True,protein,25,0.0003412420196255509,5,nucleus,metabolic process,nitrogen compound metabolic process,binding,organic cyclic compound binding
MAD2L2,0.0,,False,protein,34,0.013815375328735705,1,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
RELA,3.5395,TF,True,protein,355,0.07720367186341201,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
DLG4,0.0,,False,protein,119,0.025801168918770892,1,plasma_membrane,cellular process,cellular component organization,binding,protein binding
NFKBIA,3.844275,TF,True,protein,128,0.00029440151542307327,0,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
STAT3,4.11694,TF,True,protein,213,0.05644336429288931,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
LDOC1,0.0,,False,protein,64,0.008192533573374593,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
CREBBP,0.0,,False,protein,342,0.05584265906172615,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
CTNNB1,3.83815,TF,True,protein,363,0.040671709079421,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
PPP1CA,0.0,,False,protein,309,0.015725460806950493,3,nucleus,cellular process,cellular component organization,binding,protein binding
PDCD6IP,0.0,,False,protein,87,0.003805695871755356,6,plasma_membrane,cellular process,cellular component organization,binding,protein binding
COL6A3,4.1857,Collagens,True,protein,4,0.0,1,extracellular,cellular process,cellular component organization,structural molecule,extracellular matrix structural constituent
ZFP91,3.0881,Secreted Factors,True,protein,9,0.0,6,nucleus,cellular process,cell communication,catalytic,transferase
TCF4,2.1107,TF,True,protein,191,0.04826310472163016,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
TGFB1,0.0,,False,protein,89,0.04304476279002131,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
FOXA2,3.394333333333333,TF,True,protein,10,0.00016277835799014434,7,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
HLA-B,0.0,,False,protein,309,0.010904350685950684,6,ER,immune system process,antigen processing and presentation,binding,protein binding
FRS2,0.0,,False,protein,17,0.0,6,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
B2M,0.0,,False,protein,27,0.024793621561577363,2,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
CEBPA,4.33625,TF,True,protein,109,0.01733226462031926,6,nucleus,cellular process,cellular developmental process,binding,protein binding
EGR1,3.74645,TF,True,protein,27,3.072685655323993e-05,0,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
TCHHL1,4.286700000000001,Secreted Factors,True,protein,1,0.0,0,,,,binding,ion binding
NFKB1,3.455375,TF,True,protein,169,0.012862297638745359,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
CCNA2,0.0,,False,protein,81,0.0010305064345440425,0,protein complex,cellular process,cellular response to stimulus,binding,protein binding
KRT40,0.0,,False,protein,312,0.0004327334944507118,6,cytoskeleton,cellular process,cellular developmental process,binding,protein binding
KLF5,2.5269999999999992,TF,True,protein,27,0.00040090274039587896,5,nucleus,cellular process,cell communication,binding,protein binding
F9,2.4075,ECM Regulators,True,protein,5,0.0,2,extracellular,metabolic process,nitrogen compound metabolic process,catalytic,hydrolase
SMAD3,3.93194,TF,True,protein,363,0.14010646489569695,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
IGFBP5,4.3642,ECM Glycoproteins,True,protein,17,0.00015904905407667839,4,protein complex,biological regulation,regulation of biological process,binding,protein binding
CREB1,3.7183333333333337,TF,True,protein,105,0.006093460198367593,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
FOXA1,2.4616,TF,True,protein,8,0.0,7,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
NR3C1,4.758166666666666,TF,True,protein,200,0.019556341369472537,3,nucleus,cellular process,cellular response to stimulus,binding,organic cyclic compound binding
SDC1,2.5951,ECM-affiliated Proteins,True,protein,22,0.0009320444146354105,2,extracellular,cellular process,cellular developmental process,binding,protein binding
POU2F1,5.38615,TF,True,protein,60,0.00023817001438915068,3,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SP1,3.7595130434782607,TF,True,protein,258,0.07169139273405427,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
CDH5,0.0,,False,protein,25,0.010582010582010581,4,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
LAMA1,0.0,,False,protein,19,0.006682103103806166,2,extracellular,cellular process,cellular component organization,binding,protein binding
SAP30,0.0,,False,protein,38,2.6224760267313458e-05,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
IKBKB,4.039199999999999,TF,True,protein,159,0.0029676414499421847,0,protein complex,biological regulation,regulation of biological process,binding,protein binding
CLEC4A,2.5673000000000004,ECM-affiliated Proteins,True,protein,1,0.0,5,plasma_membrane,immune system process,antigen processing and presentation,binding,carbohydrate binding
LAMB1,3.8339,ECM Glycoproteins,True,protein,21,0.001847079942698824,2,extracellular,cellular process,cellular developmental process,structural molecule,extracellular matrix structural constituent
DNMT1,3.71935,TF,True,protein,77,0.0016747418165975845,3,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
AEBP1,2.8047,ECM Glycoproteins,True,protein,2,0.0,0,extracellular,multicellular organismal process,multicellular organism development,transcription regulator,DNA-binding transcription factor
RB1,2.43075,TF,True,protein,245,0.015574842021268107,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
CEBPB,3.693625,TF,True,protein,88,0.010961286446916485,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
FGA,3.7337,ECM Glycoproteins,True,protein,20,0.0,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
PPARA,4.4499,TF,True,protein,47,0.0007415178316052565,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
SIRT1,2.73315,TF,True,protein,217,0.00605135417145746,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
E2F1,3.47998,TF,True,protein,127,0.013710423586356735,5,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
YWHAH,0.0,,False,protein,157,0.01169957847818244,1,extracellular,biological regulation,regulation of biological process,binding,protein binding
THBS2,5.5095,ECM Glycoproteins,True,protein,3,0.0,2,endomembrane,biological regulation,regulation of biological process,binding,protein binding
GRB2,0.0,,False,protein,705,0.15136386506517727,0,nucleus,cellular process,cell communication,binding,protein binding
ETS2,3.844275,TF,True,protein,25,0.005837737713241452,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
LAMA4,2.189,ECM Glycoproteins,True,protein,17,0.0,2,extracellular,cellular process,cellular component organization,binding,protein binding
CEBPD,3.1403,TF,True,protein,31,0.0007287342882025336,6,nucleus,cellular process,cell communication,binding,protein binding
SMAD4,4.270433333333333,TF,True,protein,240,0.036913471335503927,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
HDAC1,3.9745142857142857,TF,True,protein,476,0.08532924389579971,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
ELFN2,4.4038,ECM-affiliated Proteins,True,protein,1,0.0,3,extracellular,biological regulation,regulation of biological process,molecular function regulator,enzyme regulator
FAM9B,0.0,,False,protein,118,0.011049723756906079,1,nucleus,reproduction,sexual reproduction,binding,protein binding
S100A16,3.2893,Secreted Factors,True,protein,29,0.0,6,extracellular,response to stimulus,response to chemical,binding,protein binding
LTBP2,4.009399999999999,ECM Glycoproteins,True,protein,5,0.0,2,extracellular,cellular process,cell communication,binding,protein binding
FGFR1,0.0,,False,protein,63,0.03010932833719603,2,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
TSG101,0.0,,False,protein,152,0.03328089972828093,6,endosome,biological regulation,regulation of biological process,binding,protein binding
ETV4,4.190833333333333,TF,True,protein,14,0.00013993293963988665,6,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
FBLN2,3.0997,ECM Glycoproteins,True,protein,24,0.0007736010303446118,2,extracellular,biological regulation,regulation of biological process,structural molecule,extracellular matrix structural constituent
ING4,6.84615,TF,True,protein,27,0.0011832743689433513,0,nucleus,cellular process,cellular component organization,binding,protein binding
SMOC1,0.0,,False,protein,8,0.011049723756906079,1,extracellular,developmental process,anatomical structure development,binding,protein binding
NCOA1,0.0,,False,protein,76,0.014437162858736209,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
PPBP,3.3662,Secreted Factors,True,protein,23,0.0,2,endomembrane,response to stimulus,response to external stimulus,transporter,transmembrane transporter
EPAS1,3.989066666666667,TF,True,protein,114,0.010259422502981804,0,nucleus,cellular process,cellular response to stimulus,binding,protein binding
MXRA5,7.3644,ECM Glycoproteins,True,protein,1,0.0,2,extracellular,response to stimulus,response to endogenous stimulus,,
IL4R,0.0,,False,protein,23,0.0,5,plasma_membrane,response to stimulus,response to chemical,binding,protein binding
MFAP1,4.7221,ECM Glycoproteins,True,protein,59,0.030818029903990265,1,extracellular,,,binding,protein binding
NKX2-1,2.77815,TF,True,protein,21,0.0013614909182750642,5,nucleus,developmental process,anatomical structure development,binding,organic cyclic compound binding
COPS3,0.0,,False,protein,66,0.00342572399731561,4,nucleus,cellular process,cellular response to stimulus,binding,protein binding
ITGA4,0.0,,False,protein,473,0.021693296326798957,2,plasma_membrane,cellular process,movement of cell or subcellular component,binding,protein binding
EP300,3.322775,TF,True,protein,467,0.18148102373980723,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
PDIA3,0.0,,False,protein,88,0.021360065359302214,1,plasma_membrane,cellular process,protein folding,catalytic,oxidoreductase
ESR1,4.1237,TF,True,protein,629,0.05540702079236133,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
FGF2,0.0,,False,protein,33,0.0051604356615218205,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
EGLN1,0.0,,False,protein,23,9.105790873746674e-05,0,cytoplasm,biological regulation,regulation of biological process,catalytic,oxidoreductase
ATF2,0.0,,False,protein,208,0.021307460749358208,5,mitochondria,biological regulation,regulation of biological process,binding,protein binding
ESR2,4.399850000000001,TF,True,protein,125,0.01054125430856999,5,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
STAT6,4.069599999999999,TF,True,protein,64,0.015111246693331446,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
IL16,3.5502,Secreted Factors,True,protein,32,0.0,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
CIITA,2.8049999999999997,TF,True,protein,27,0.00016169355276655152,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
SOX9,4.13245,TF,True,protein,18,9.172375041006102e-05,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
PLAT,0.0,,False,protein,19,0.011567591640335656,2,extracellular,metabolic process,nitrogen compound metabolic process,binding,protein binding
USF2,0.0,,False,protein,26,0.011133655805314235,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
TWIST2,0.0,,False,protein,7,0.00013292161082216334,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
IGF1,0.0,,False,protein,17,0.004204495306993061,4,protein complex,biological regulation,regulation of biological process,binding,protein binding
CXCR2,0.0,,False,protein,22,0.011049723756906079,2,plasma_membrane,response to stimulus,response to chemical,molecular transducer,signaling receptor
S100A14,0.0,,False,protein,11,0.011049723756906077,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
PPP1R13L,0.0,,False,protein,11,0.0005548857024394849,0,nucleus,multicellular organismal process,multicellular organism development,binding,protein binding
USF1,0.0,,False,protein,41,0.0006484566390351592,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
DNMT3L,0.0,,False,protein,12,0.0,3,cytoplasm,cellular process,cellular process involved in reproduction in multicellular organism,binding,protein binding
CXCL8,0.0,,False,protein,20,0.036513775352649554,2,extracellular,cellular process,cellular response to stimulus,binding,protein binding
KDR,0.0,,False,protein,60,0.013824999603417577,2,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
NFE4,0.0,,False,protein,7,0.0,3,,biological regulation,regulation of biological process,binding,protein binding
MAD1L1,0.0,,False,protein,48,0.03342041728815086,1,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
TP63,0.0,,False,protein,128,0.0064157940416744155,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
PDGFB,0.0,,False,protein,23,0.0011268816103070245,2,vesicle,biological regulation,regulation of biological process,binding,protein binding
ONECUT1,0.0,,False,protein,7,0.011781096206745207,7,nucleus,developmental process,anatomical structure development,transcription regulator,DNA-binding transcription factor
RXRG,0.0,,False,protein,33,0.0006386993804800891,5,nucleus,cellular process,cellular response to stimulus,transcription regulator,DNA-binding transcription factor
NFKBIZ,0.0,,False,protein,3,0.0,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
SMARCC1,0.0,,False,protein,93,0.025368504450720405,0,nucleus,cellular process,cellular component organization,binding,protein binding
PPP1R12C,0.0,,False,protein,13,0.011049723756906079,0,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
ATF7IP,0.0,,False,protein,77,0.01572881401013648,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
PRDM2,0.0,,False,protein,10,8.42571528304385e-06,5,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
S100A6,0.0,,False,protein,22,0.045678286854757444,1,plasma_membrane,cellular process,cell communication,binding,protein binding
RUNX1,0.0,,False,protein,76,0.015792364598591947,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
DLG1,0.0,,False,protein,88,0.002378783313405782,1,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
CEP55,0.0,,False,protein,67,0.0016499844538518575,1,cytoskeleton,cellular process,cell division,binding,protein binding
