,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
SKI,0.0,,False,protein,46,0.0013401391360732759,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
SOX2,4.0028500000000005,TF,True,protein,335,0.015460986035907613,4,nucleus,developmental process,anatomical structure development,binding,organic cyclic compound binding
CDK6,0.0,,False,protein,110,0.02609401221595572,2,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
ADAM28,3.4604,ECM Regulators,True,protein,1,0.0,2,plasma_membrane,reproduction,sexual reproduction,catalytic,hydrolase
FSTL1,3.2803,Secreted Factors,True,protein,14,0.03132306699991938,7,extracellular,cellular process,cell communication,binding,protein binding
USF1,3.713933333333333,TF,True,protein,41,0.00023576660110840268,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
PPARG,4.59158,TF,True,protein,138,0.022799209716079013,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
CDC27,0.0,,False,protein,81,0.02120806142673954,5,nucleus,cellular process,cell cycle,binding,protein binding
CDH1,0.0,,False,protein,152,0.01924870977752173,5,plasma_membrane,cellular process,cellular component organization,binding,protein binding
SPP1,5.0266,ECM Glycoproteins,True,protein,81,0.0010861740770334498,6,extracellular,cellular process,cellular component organization,binding,protein binding
MAD2L1,0.0,,False,protein,47,0.003075058446442949,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
MUC5AC,4.149,ECM-affiliated Proteins,True,protein,2,0.0,2,extracellular,cellular process,cell communication,structural molecule,extracellular matrix structural constituent
MYB,4.787466666666667,TF,True,protein,72,0.0007636624749270132,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
HDAC3,0.0,,False,protein,204,0.03138483043623783,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
ADAM17,2.585,ECM Regulators,True,protein,23,0.0,5,plasma_membrane,biological regulation,regulation of biological process,catalytic,hydrolase
CXCL8,0.0,,False,protein,20,0.025971792225662194,1,extracellular,cellular process,cellular response to stimulus,binding,protein binding
MEOX2,0.0,,False,protein,212,0.0480091208232875,6,nucleus,multicellular organismal process,multicellular organism development,transcription regulator,DNA-binding transcription factor
NFIC,3.973266666666667,TF,True,protein,16,8.552029060587237e-05,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
KDR,0.0,,False,protein,60,0.02172670666217054,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
PRKCD,0.0,,False,protein,80,0.0083852272716718,1,vesicle,biological regulation,regulation of biological process,catalytic,transferase
ANGPTL2,5.2509,Secreted Factors,True,protein,1,0.0,0,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
FLI1,5.622333333333334,TF,True,protein,21,0.0011312858828389414,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
COL3A1,5.84,Collagens,True,protein,15,0.0031878785699247995,7,extracellular,cellular process,cellular component organization,binding,protein binding
IGFBP3,3.1474,ECM Glycoproteins,True,protein,39,0.011058660163860508,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
HDAC2,4.9811,TF,True,protein,295,0.03361476090781452,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
PRELP,3.3346,Proteoglycans,True,protein,7,0.0002526270525948023,7,extracellular,cellular process,cellular developmental process,structural molecule,extracellular matrix structural constituent
PPARD,3.2557499999999995,TF,True,protein,44,0.0021492627655006957,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
GATA3,4.648266666666666,TF,True,protein,23,0.0013773953878542084,1,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
VCAN,7.0309,Proteoglycans,True,protein,26,0.004788094306877062,7,extracellular,cellular process,cell recognition,binding,protein binding
LTBP1,5.600099999999999,ECM Glycoproteins,True,protein,12,0.0035587394485851443,7,extracellular,cellular process,cell communication,binding,protein binding
APPBP2,0.0,,False,protein,83,0.013071895424836602,1,vesicle,localization,establishment of localization,catalytic,hydrolase
REL,3.1215,TF,True,protein,226,0.055113982068727835,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
HOXB7,3.4519,TF,True,protein,14,0.00018031096833590694,2,nucleus,multicellular organismal process,multicellular organism development,transcription regulator,DNA-binding transcription factor
RXRA,0.0,,False,protein,124,0.05688403273308919,1,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
FOSL1,0.0,,False,protein,31,0.0006121057993485754,0,nucleus,response to stimulus,response to external stimulus,transcription regulator,DNA-binding transcription factor
SELL,0.0,,False,protein,17,0.01357360649611483,7,vesicle,immune system process,leukocyte migration,binding,protein binding
MMP2,0.0,,False,protein,43,0.01742053365844838,7,extracellular,cellular process,cellular response to stimulus,catalytic,hydrolase
HIF1A,2.98652,TF,True,protein,136,0.013024720394199298,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
PARP1,3.0403666666666664,TF,True,protein,221,0.03657222210762118,2,nucleus,cellular process,cellular response to stimulus,binding,protein binding
GALNT12,0.0,,False,protein,15,0.012658227848101266,2,golgi,metabolic process,nitrogen compound metabolic process,catalytic,transferase
MAZ,4.5574,TF,True,protein,8,0.0,1,nucleus,metabolic process,nitrogen compound metabolic process,binding,organic cyclic compound binding
ETS1,4.583600000000001,TF,True,protein,95,0.0062799221397448245,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
RARA,5.33505,TF,True,protein,138,0.0060584449409584505,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
JUN,3.947028571428572,TF,True,protein,244,0.04544575183556205,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
PARP2,0.0,,False,protein,67,0.013071895424836602,5,nucleus,cellular process,cellular response to stimulus,catalytic,transferase
SFTPA1,2.2275,ECM-affiliated Proteins,True,protein,6,0.0,7,extracellular,immune system process,immune effector process,binding,protein binding
FUS,0.0,,False,protein,296,0.03581176742637749,1,nucleus,cellular process,cellular response to stimulus,binding,protein binding
POU5F1,4.956049999999999,TF,True,protein,29,0.0021565245923158946,7,cytoplasm,developmental process,maintenance of cell number,binding,organic cyclic compound binding
SRF,2.79604,TF,True,protein,77,0.005367791896057439,4,nucleus,developmental process,anatomical structure development,binding,protein binding
HSPG2,2.0416,Proteoglycans,True,protein,39,0.03289106918122544,7,extracellular,metabolic process,organic substance metabolic process,binding,protein binding
MFGE8,3.1301,ECM Glycoproteins,True,protein,2,0.0,0,extracellular,cellular process,cell recognition,binding,lipid binding
GREM1,3.9432,ECM-affiliated Proteins,True,protein,3,0.0,0,extracellular,biological regulation,regulation of biological process,binding,protein binding
JUND,3.085725,TF,True,protein,44,0.003368917067369033,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
FOS,4.677716666666667,TF,True,protein,176,0.027809122153367092,1,nucleus,response to stimulus,response to chemical,binding,protein binding
ANXA2,3.705,ECM-affiliated Proteins,True,protein,98,0.02340870750064229,2,vesicle,biological regulation,regulation of biological process,binding,protein binding
WISP2,2.565,ECM Glycoproteins,True,protein,6,0.012163016536171476,7,extracellular,cellular process,cell communication,binding,protein binding
CEBPZ,5.8252,TF,True,protein,25,0.0006795207393982334,4,nucleus,metabolic process,nitrogen compound metabolic process,binding,organic cyclic compound binding
MAD2L2,0.0,,False,protein,34,0.025164020175912308,5,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
COL1A1,3.0248,Collagens,True,protein,48,0.02577951716216691,7,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
RELA,4.0332928571428575,TF,True,protein,355,0.06204597308792759,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
NFKBIA,4.902825,TF,True,protein,128,0.0027438130194588402,4,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
STAT3,4.374393333333334,TF,True,protein,213,0.014260022171521074,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
CREBBP,0.0,,False,protein,342,0.051585847190547235,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
CTNNB1,4.178800000000001,TF,True,protein,363,0.04304595070777688,4,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
HDAC4,3.7902,TF,True,protein,140,0.053945465240644294,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
RUNX3,3.07625,TF,True,protein,29,0.0023505091084694203,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
SPI1,2.987675,TF,True,protein,50,0.005137279237937073,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
EGR2,3.57785,TF,True,protein,17,0.0,7,nucleus,multicellular organismal process,multicellular organism development,binding,protein binding
ADAMTS12,4.0387,ECM Regulators,True,protein,5,0.0,6,extracellular,cellular process,cellular response to stimulus,binding,protein binding
FOXA2,4.4487,TF,True,protein,10,0.00020681805243043936,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
CEBPA,3.9368,TF,True,protein,109,0.019070674337213066,1,nucleus,cellular process,cellular developmental process,binding,protein binding
EGR1,2.9700333333333333,TF,True,protein,27,3.5973409768450226e-05,1,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
NFKB1,4.010937037037037,TF,True,protein,169,0.032385016932721396,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
WWP2,0.0,,False,protein,75,0.01599380593055568,7,extracellular,biological regulation,regulation of biological process,catalytic,transferase
ANXA5,2.2696,ECM-affiliated Proteins,True,protein,34,0.004736646264317519,0,plasma_membrane,biological regulation,regulation of biological process,binding,ion binding
FBLN1,3.6998,ECM Glycoproteins,True,protein,37,0.025287222766363537,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
POU2F2,4.94785,TF,True,protein,14,0.0005442602886130862,2,nucleus,cellular process,cellular developmental process,transcription regulator,DNA-binding transcription factor
CHRDL1,2.8625,Secreted Factors,True,protein,2,0.0,7,ER,cellular process,cell communication,,
KRT40,0.0,,False,protein,312,0.013786332535377963,4,cytoskeleton,cellular process,cellular developmental process,binding,protein binding
SMAD3,3.6131,TF,True,protein,363,0.1749219844678236,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
CREB1,4.3495,TF,True,protein,105,0.0007255328832146305,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
POU2F1,4.0635,TF,True,protein,60,0.004400909649353974,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SP1,4.006004166666667,TF,True,protein,258,0.051080583528650636,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
CDH5,0.0,,False,protein,25,0.013071895424836598,5,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
SAP30,0.0,,False,protein,38,9.555479111722661e-06,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
RB1,0.0,,False,protein,245,0.030831512495127698,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
CEBPB,3.7310142857142856,TF,True,protein,88,0.01261006271784847,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
TFAP2A,4.4367,TF,True,protein,113,0.03720012626403657,7,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
FOXO1,3.21255,TF,True,protein,47,0.008198546419663942,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
FGA,2.7683,ECM Glycoproteins,True,protein,20,0.0,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
PPARA,3.367275,TF,True,protein,47,0.0006621553708987374,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
SIRT1,2.96225,TF,True,protein,217,0.005764851877950269,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
E2F1,3.0330833333333334,TF,True,protein,127,0.01404873840443959,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ELF3,2.5154500000000004,TF,True,protein,47,2.4752014646425463e-05,1,nucleus,developmental process,anatomical structure development,transcription regulator,DNA-binding transcription factor
SUMO1,0.0,,False,protein,1019,0.07225307250749283,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
EMCN,4.3821,ECM-affiliated Proteins,True,protein,2,0.0,7,plasma_membrane,,,,
SERPINH1,2.9717,ECM Regulators,True,protein,83,0.033293254575484925,7,ER,response to stimulus,response to stress,binding,protein-containing complex binding
THBS2,3.3901,ECM Glycoproteins,True,protein,3,0.0,7,endomembrane,biological regulation,regulation of biological process,binding,protein binding
GRB2,0.0,,False,protein,705,0.08826064021473991,0,nucleus,cellular process,cell communication,binding,protein binding
ETS2,4.305033333333333,TF,True,protein,25,0.005607459166490593,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
CEBPD,2.49415,TF,True,protein,31,0.0018421984429139782,1,nucleus,cellular process,cell communication,binding,protein binding
MAF,3.7902,TF,True,protein,25,0.0011114557577519525,1,nucleus,cellular process,cellular developmental process,transcription regulator,DNA-binding transcription factor
COL16A1,2.7793,Collagens,True,protein,3,0.0,3,ER,cellular process,cellular component organization,binding,protein binding
HDAC1,4.834266666666666,TF,True,protein,476,0.09200480088054483,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
SMAD4,4.028366666666666,TF,True,protein,240,0.012779585497375888,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
FOSL2,2.8946,TF,True,protein,22,0.0026129631783460253,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
FBN1,3.1517,ECM Glycoproteins,True,protein,35,0.017088537042233145,7,extracellular,developmental process,anatomical structure development,binding,protein binding
SNAI2,2.8516000000000004,TF,True,protein,17,0.0,4,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
LTBP2,3.3478000000000003,ECM Glycoproteins,True,protein,5,0.0,7,extracellular,cellular process,cell communication,binding,protein binding
ETV4,5.098025,TF,True,protein,14,0.00011706120117922017,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
ING4,5.12445,TF,True,protein,27,0.0010819557568008133,6,nucleus,cellular process,cellular component organization,binding,protein binding
PRG4,2.1598999999999995,Proteoglycans,True,protein,1,0.0,0,extracellular,cell proliferation,,structural molecule,extracellular matrix structural constituent
TBP,3.449266666666667,TF,True,protein,148,0.01230313312512503,2,nucleus,metabolic process,nitrogen compound metabolic process,binding,protein binding
CRELD2,3.5884,ECM Glycoproteins,True,protein,31,0.026029895837422677,7,ER,,,binding,protein binding
NCOA1,0.0,,False,protein,76,0.013898125879124833,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
PPBP,3.1312,Secreted Factors,True,protein,23,0.0,7,endomembrane,response to stimulus,response to external stimulus,transporter,transmembrane transporter
EPAS1,2.8035,TF,True,protein,114,0.008111164112064546,6,nucleus,cellular process,cellular response to stimulus,binding,protein binding
MXRA5,9.9853,ECM Glycoproteins,True,protein,1,0.0,2,extracellular,response to stimulus,response to endogenous stimulus,,
MFAP1,2.2813,ECM Glycoproteins,True,protein,59,0.0007311368004172576,4,extracellular,,,binding,protein binding
ITGA4,0.0,,False,protein,473,0.01759013502266922,2,plasma_membrane,cellular process,movement of cell or subcellular component,binding,protein binding
EP300,3.10645,TF,True,protein,467,0.1673922758302143,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
CITED2,0.0,,False,protein,12,0.0005126619866749482,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
ESR1,4.094033333333333,TF,True,protein,629,0.05939497617565847,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
RUNX1,3.3271999999999995,TF,True,protein,76,0.006272184349648901,1,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ATF2,2.6480500000000005,TF,True,protein,208,0.03244032381829996,1,mitochondria,biological regulation,regulation of biological process,binding,protein binding
EGLN1,0.0,,False,protein,23,8.869419950577699e-05,6,cytoplasm,biological regulation,regulation of biological process,catalytic,oxidoreductase
STAT6,4.560766666666667,TF,True,protein,64,0.005735586738526049,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
IL16,5.3028,Secreted Factors,True,protein,32,0.0,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
JUNB,0.0,,False,protein,51,0.0006928522963027373,0,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
CIITA,4.551966666666667,TF,True,protein,27,0.0005716693711953488,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
SP3,4.39348,TF,True,protein,33,0.00013291162258878108,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
BCR/ABL,0.0,,False,protein,3,6.29647973032638e-05,0,,,,,
USF2,0.0,,False,protein,26,0.0001266581290173058,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
IGF1,0.0,,False,protein,17,0.005497477800893426,7,protein complex,biological regulation,regulation of biological process,binding,protein binding
ASAP3,0.0,,False,protein,7,0.00025066577995152943,4,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
EFEMP2,0.0,,False,protein,55,0.020560757706453388,6,extracellular,cellular process,cellular component organization,binding,protein binding
HOXA10,0.0,,False,protein,15,0.0009595084343602576,0,nucleus,multicellular organismal process,multicellular organism development,binding,protein binding
REV3L,0.0,,False,protein,8,0.006214060385418073,5,nucleus,metabolic process,nitrogen compound metabolic process,binding,protein binding
NFE4,0.0,,False,protein,7,0.0,4,,biological regulation,regulation of biological process,binding,protein binding
KRTAP10-8,0.0,,False,protein,162,0.013621144525965937,6,cytoplasm,cellular process,cellular developmental process,binding,protein binding
MAD1L1,0.0,,False,protein,48,0.011809891205562077,4,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
PDGFRB,0.0,,False,protein,94,0.019299652639253973,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
PDGFB,0.0,,False,protein,23,0.0035696658963123335,7,vesicle,biological regulation,regulation of biological process,binding,protein binding
LUZP4,0.0,,False,protein,13,0.004921973978784046,1,nucleus,localization,macromolecule localization,binding,protein binding
BMP4,0.0,,False,protein,19,0.012658227848101267,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
HOXA5,0.0,,False,protein,12,0.001149367174812178,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
RXRG,0.0,,False,protein,33,0.000787089622795256,4,nucleus,cellular process,cellular response to stimulus,transcription regulator,DNA-binding transcription factor
CBFB,0.0,,False,protein,30,0.0005851907144513621,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
NFKBIZ,0.0,,False,protein,3,0.0,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
IGF2,0.0,,False,protein,24,0.00568894999594297,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
LDOC1,0.0,,False,protein,64,0.0019349727877302704,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
TGFB1,0.0,,False,protein,89,0.1005701970121888,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
NID1,0.0,,False,protein,21,0.013803826558266305,7,extracellular,cellular process,cellular component organization,binding,protein binding
HMGB2,0.0,,False,protein,33,0.005779272542748419,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
GFAP,0.0,,False,protein,52,0.012685433113003693,3,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
TLR2,0.0,,False,protein,38,0.01882609046198501,7,plasma_membrane,response to stimulus,response to chemical,binding,protein binding
CD14,0.0,,False,protein,16,0.00024187696525034265,7,plasma_membrane,response to stimulus,response to chemical,binding,lipid binding
NDUFB11,0.0,,False,protein,18,0.012658227848101266,7,mitochondria,cellular process,cellular component organization,binding,protein binding
FUT11,0.0,,False,protein,2,0.0014174127090357035,6,extracellular,metabolic process,glycosylation,binding,protein binding
