protein1,protein2,in_solution,cost
TFCP2,NFE4,True,0.271915
ZFYVE9,BMP4,True,0.530378
ZFYVE9,SMAD3,True,0.128063
ZFYVE9,FOS,,0.598835
TRAF3,ZBP1,True,0.45648
TRAF3,TBK1,True,0.0651727
TRAF3,CASP3,,0.376967
TRAF3,IRF3,,0.598835
FN1,ANXA2,,0.598835
FN1,PARP1,,0.598835
FN1,ITIH4,True,0.598835
FN1,ANXA1,,0.598835
FN1,LTBP1,,0.85922
FN1,FGB,,0.598835
FN1,RARA,,0.594442
FN1,SDC2,,0.561127
FN1,PLG,,0.561127
FN1,LGALS1,,0.598835
FN1,SERPINA1,,0.598835
FN1,ITIH2,True,0.598835
FN1,GRB2,,0.407758
FN1,PRELP,,0.85922
FN1,HDAC1,,0.598835
FN1,FBLN1,True,0.393241
FN1,HSPG2,,0.391484
FN1,FGA,,0.598835
FN1,SKIL,,0.763579
FN1,IGFBP5,,0.717078
FN1,FUS,,0.598835
FN1,TNC,True,0.410116
FN1,F2,,0.598835
FN1,TRIM28,,0.598835
FN1,ATP5C1,,0.598835
FN1,HGF,,0.391484
EIF1B,ANXA2,True,0.598835
EIF1B,FUS,,0.598835
EIF1B,MXRA5,True,0.598835
S100A11,ANXA1,True,0.561127
S100A11,ATF2,True,0.598835
KLF4,TP53,,0.85922
KLF4,HDAC2,True,0.262588
KLF4,CREBBP,True,0.2064
KLF4,RELA,,0.598835
KLF4,EP300,True,0.226952
KLF4,HDAC1,,0.561127
KLF4,HDAC5,True,0.598835
KLF4,SP1,True,0.364353
TWIST1,NFKB1,True,0.598835
TWIST1,TP53,,0.243823
TWIST1,HDAC2,True,0.472309
TWIST1,RELA,True,0.410771
TWIST1,EP300,,0.441751
TWIST1,HDAC3,,0.598835
TWIST1,ETS2,,0.409355
SKIL,NCOR2,,0.381977
SKIL,SPARCL1,True,0.594442
SKIL,PIAS3,,0.594442
SKIL,SKI,,0.202977
SKIL,HDAC1,,0.598835
SKIL,FBLN1,,0.594442
SKIL,RB1,,0.598835
SKIL,SMAD3,True,0.0715666
GLI1,CDK4,True,0.441963
GLI1,HDAC2,,0.598835
GLI1,HDAC1,,0.598835
GLI1,TRIM42,True,0.443583
GLI1,SUFU,True,0.0947571
ITIH4,GRB2,True,0.594442
CTSH,SFTPB,True,0.85922
CTSH,CSTB,True,0.561127
ERG,PARP1,True,0.296056
ERG,JUN,,0.561127
ERG,SPI1,,0.85922
ERG,ETS2,True,0.381203
SKI,RARA,,0.378985
SKI,TP53,,0.598835
SKI,GLI2,True,0.458237
SKI,JUN,,0.571676
SKI,HDAC3,,0.221602
SKI,RB1,,0.598835
SKI,SMAD3,True,0.0331915
SKI,SPI1,,0.45648
CSTB,CTSB,,0.376967
CSTB,CST3,True,0.561127
SERPIND1,F2,True,0.654948
OS9,SERPINH1,True,0.410771
OS9,EGLN1,,0.391484
OS9,PLOD2,True,0.598835
OS9,SERPINA1,True,0.298244
OS9,HIF1A,True,0.296081
OS9,DYSF,,0.63215
NTN1,DCC,True,0.199395
SPP1,PARP1,,0.598835
SPP1,IGFBP5,True,0.561127
SPP1,CASP3,,0.561127
SPP1,F2,,0.598835
SEMA4B,PLXNB1,True,0.830932
TP53,ANXA2,,0.561127
TP53,PARP1,,0.133237
TP53,TBP,,0.184704
TP53,CUL9,True,0.0520834
TP53,HDAC2,,0.117085
TP53,CEBPB,,0.443981
TP53,SERPINH1,,0.598835
TP53,CREBBP,,0.0194858
TP53,NCOA1,,0.458237
TP53,BRCA1,,0.0403172
TP53,RELA,,0.598835
TP53,EP300,,0.005018
TP53,HIF1A,,0.214171
TP53,HDAC1,,0.0305397
TP53,HRAS,,0.598835
TP53,HDAC3,,0.830932
TP53,RB1,,0.598835
TP53,TAF1,,0.332937
TP53,ING4,True,0.0566297
TP53,SMAD3,,0.270109
TP53,ATF3,,0.221004
TP53,SP3,,0.598835
TP53,HDAC5,,0.598835
TP53,IRF7,,0.594442
TP53,STAT6,,0.594442
TP53,NCOA3,,0.561127
TP53,SP1,,0.0448072
TP53,LAMA4,True,0.427045
TP53,EGR1,,0.249941
PCOLCE,LTBP1,True,0.441963
PCOLCE,PLG,True,0.370243
HDAC3,PARP1,,0.45648
HDAC3,NCOR2,True,0.0246081
HDAC3,NRIP1,,0.227057
HDAC3,RARA,,0.561127
HDAC3,NFKB1,,0.472309
HDAC3,CREBBP,,0.449051
HDAC3,JUN,,0.585069
HDAC3,STAT3,,0.298244
HDAC3,RELA,,0.344359
HDAC3,EP300,,0.220473
HDAC3,HIF1A,,0.323872
HDAC3,HDAC1,,0.794225
HDAC3,IL16,True,0.45648
HDAC3,SAP30,,0.598835
HDAC3,RB1,,0.292407
HDAC3,ATF3,,0.561127
HDAC3,HDAC5,,0.165007
HDAC3,SPI1,,0.598835
HDAC3,SP1,,0.598835
HDAC3,IRF3,,0.598835
NCOR2,RARA,True,0.0465326
NCOR2,NFKB1,,0.646972
NCOR2,HDAC2,,0.436465
NCOR2,CEBPB,,0.45648
NCOR2,CREBBP,,0.598835
NCOR2,JUN,,0.458237
NCOR2,RELA,,0.222577
NCOR2,EP300,,0.598835
NCOR2,STAT5B,,0.73985
NCOR2,HDAC1,,0.305968
NCOR2,SAP30,,0.572837
NCOR2,FOS,,0.419331
NCOR2,HDAC5,,0.333363
NCOR2,NCOA3,,0.384055
NCOR2,SP1,,0.398358
CTSB,ANXA2,True,0.561127
CTSB,PARP1,,0.561127
CTSB,CST3,True,0.40257
PLXDC2,ZBP1,True,0.45648
PIAS3,TBP,,0.763579
PIAS3,CREBBP,,0.598835
PIAS3,STAT3,True,0.120196
PIAS3,RELA,,0.290969
PIAS3,EP300,,0.533732
PIAS3,SERPINA10,True,0.594442
PIAS3,HDAC1,,0.85922
PIAS3,SMAD3,,0.45648
KDR,GRB2,,0.520073
KDR,HSPG2,True,0.227975
KDR,ANXA5,True,0.425632
KDR,MET,,0.598835
KDR,PDGFRB,,0.598835
PLXNB3,CUL9,True,0.553316
PLXNB3,SPOCK2,True,0.445567
PLXNB3,MET,,0.475767
PLXNB3,ARHGEF11,True,0.298488
NCOA3,ANXA2,,0.598835
NCOA3,TBP,,0.85922
NCOA3,RARA,True,0.0690365
NCOA3,NFKB1,,0.598835
NCOA3,CREBBP,True,0.0420442
NCOA3,JUN,,0.830932
NCOA3,NCOA1,,0.598835
NCOA3,BRCA1,,0.35421
NCOA3,RELA,,0.598835
NCOA3,EP300,,0.0647062
NCOA3,SMAD3,,0.598835
NCOA3,FOS,,0.45648
NCOA3,STAT6,,0.598835
HDAC2,PARP1,,0.332937
HDAC2,NRIP1,,0.85922
HDAC2,RARA,,0.378985
HDAC2,NFKB1,,0.598835
HDAC2,SERPINH1,,0.598835
HDAC2,CREBBP,,0.410771
HDAC2,STAT3,,0.598835
HDAC2,CIITA,True,0.243823
HDAC2,BRCA1,,0.391484
HDAC2,RELA,,0.0633982
HDAC2,HIF1A,,0.561127
HDAC2,HDAC1,,0.0145919
HDAC2,SAP30,True,0.0670981
HDAC2,RB1,,0.125992
HDAC2,SP3,,0.298244
HDAC2,CEBPA,,0.598835
HDAC2,SP1,,0.0581152
ATF3,NFKB1,,0.85922
ATF3,CEBPB,,0.598835
ATF3,ATF2,,0.393241
ATF3,CREBBP,,0.45648
ATF3,JUN,True,0.155477
ATF3,RELA,,0.45648
ATF3,HDAC1,,0.391484
ATF3,JUNB,True,0.561127
ATF3,SMAD3,,0.332937
ATF3,FOS,,0.561127
ATF3,CEBPA,,0.561127
ATF3,BATF,,0.561127
ATF3,HDAC5,,0.561127
PRELP,HSPG2,True,0.549451
PRELP,NID2,,0.561127
JAK2,RAF1,,0.391175
JAK2,STAT3,,0.243464
JAK2,BRCA1,,0.585069
JAK2,GRB2,,0.272878
JAK2,STAT5B,True,0.246348
VCAN,FBLN1,True,0.85922
NRIP1,RARA,True,0.0538877
NRIP1,JUN,,0.538056
NRIP1,BRCA1,,0.594442
NRIP1,LDOC1,True,0.279626
NRIP1,HDAC1,,0.719821
NRIP1,HDAC5,,0.43143
BMP4,CHRDL1,True,0.830932
BMP4,BMPR1A,True,0.183172
STAT5B,RARA,,0.85922
STAT5B,STAT3,,0.598835
STAT5B,EP300,,0.765937
STAT5B,NMI,True,0.334207
STAT5B,PDGFRB,,0.85922
STAT5B,ETS2,,0.830932
VTN,KNG1,True,0.538056
VTN,IGF2,,0.561127
VTN,IGFBP5,True,0.549451
VTN,HGF,,0.561127
HIF1A,PARP1,,0.598835
HIF1A,EGLN1,True,0.11093
HIF1A,CREBBP,True,0.0440061
HIF1A,JUN,,0.410771
HIF1A,NCOA1,,0.561127
HIF1A,STAT3,,0.410771
HIF1A,BRCA1,,0.598835
HIF1A,RELA,,0.598835
HIF1A,EP300,,0.0109625
HIF1A,HDAC1,,0.138546
HIF1A,RB1,,0.419206
HIF1A,SMAD3,,0.316224
HIF1A,HDAC5,,0.45648
HIF1A,SP1,,0.233609
HIF1A,TRIM28,,0.598835
HIF1A,CITED2,,0.85922
PARP1,RARA,,0.585069
PARP1,NFKB1,True,0.305598
PARP1,CREBBP,,0.561127
PARP1,JUN,,0.598835
PARP1,RELA,,0.243823
PARP1,EP300,,0.114078
PARP1,HDAC1,,0.243823
PARP1,CEBPA,,0.397933
PARP1,HDAC5,,0.598835
PARP1,CASP3,True,0.0503345
PARP1,SP1,,0.45648
PARP1,TRIM28,,0.598835
PARP1,ZNF423,True,0.284609
ANXA1,ATF2,,0.598835
ANXA1,RELA,True,0.475767
ANXA1,ANXA5,True,0.73224
ANXA1,DYSF,True,0.85922
PLXNB1,SEMA4D,True,0.381524
PLXNB1,GRB2,,0.598835
PLXNB1,MET,True,0.218414
PLXNB1,ARHGEF11,True,0.185469
KNG1,PLG,True,0.561127
RARA,CREBBP,,0.410771
RARA,NCOA1,True,0.0489447
RARA,EP300,,0.410771
RARA,HDAC1,,0.561127
RARA,CEBPA,,0.45648
RARA,SPI1,,0.537305
RARA,SP1,,0.227185
RARA,ZNF423,True,0.475767
PLG,ANXA2,True,0.585069
PLG,SERPINC1,True,0.85922
PLG,IGF2,,0.85922
PLG,RELA,,0.598835
PLG,EP300,,0.594442
PLG,SMAD3,,0.594442
PLG,MET,,0.475767
JUN,TBP,,0.281525
JUN,ATF2,True,0.0471359
JUN,CREBBP,,0.0679733
JUN,NCOA1,,0.24053
JUN,STAT4,True,0.585069
JUN,STAT3,,0.45648
JUN,CASP9,,0.561127
JUN,BRCA1,,0.441751
JUN,RELA,,0.594442
JUN,EP300,,0.0492886
JUN,HDAC1,,0.598835
JUN,JUNB,,0.85922
JUN,RB1,,0.261191
JUN,TAF1,,0.561127
JUN,SMAD3,,0.123965
JUN,FOS,True,0.00972444
JUN,CEBPA,,0.598835
JUN,BATF,,0.379188
JUN,SPI1,,0.484455
JUN,STAT6,,0.598835
JUN,SP1,,0.243823
JUN,EGR1,,0.830932
JUN,MAZ,True,0.45648
JUN,ETS2,,0.413127
JUN,CBFB,,0.598835
SERPINC1,SDC2,True,0.85922
SERPINC1,F9,True,0.561127
DCC,CASP9,True,0.298244
DCC,CASP3,,0.425588
DCC,MAZ,True,0.259007
FUS,PDIA3,,0.598835
FUS,RELA,,0.45648
FUS,GRB2,,0.598835
FUS,EP300,,0.409355
FUS,MFGE8,True,0.598835
FUS,ANXA5,,0.598835
FUS,SPI1,True,0.397426
ITIH2,ATP5C1,True,0.492989
BATF,CEBPB,,0.85922
BATF,ATF2,True,0.484455
BATF,NFIL3,True,0.484455
BATF,JUNB,True,0.0954363
BATF,FOS,,0.73985
BATF,CEBPA,True,0.484455
BATF,IRF4,,0.594442
TNC,NID2,True,0.654948
TNC,HGF,True,0.561127
HSPG2,GRB2,,0.598835
HSPG2,FBLN1,True,0.85922
HSPG2,LTBP2,True,0.561127
HSPG2,NID2,True,0.484455
HSPG2,PDGFB,True,0.561127
HSPG2,HGF,,0.561127
IRF3,CREBBP,True,0.0244014
IRF3,RELA,,0.85922
IRF3,EP300,True,0.0602217
IRF3,TBK1,True,0.047479
IRF3,RB1,,0.45648
IRF3,IRF7,True,0.332937
MFGE8,PDGFRB,True,0.598835
IGFBP1,IGF2,True,0.484455
IGF2,IGFBP5,True,0.561127
FOS,TBP,,0.221611
FOS,NFKB1,,0.85922
FOS,ATF2,,0.0607382
FOS,CREBBP,,0.391484
FOS,NCOA1,,0.217781
FOS,RELA,,0.594442
FOS,EP300,,0.391484
FOS,ZFP91,True,0.598835
FOS,JUNB,True,0.077143
FOS,RB1,,0.484455
FOS,TAF1,,0.561127
FOS,SMAD3,,0.333363
FOS,CEBPA,,0.561127
FOS,SPI1,,0.561127
FOS,NMI,,0.730265
FOS,MAZ,,0.45648
FOS,ETS2,,0.561127
ANXA2,GRB2,,0.410771
ANXA2,EP300,,0.598835
ANXA2,STAT6,True,0.381977
ANXA2,SP1,,0.598835
ANXA2,DYSF,,0.85922
SPARCL1,CBFB,True,0.598835
RELA,CDK4,,0.598835
RELA,TBP,,0.277756
RELA,NFKB1,True,0.0184024
RELA,CEBPB,,0.286822
RELA,CREBBP,,0.024565
RELA,STAT3,,0.249941
RELA,BRCA1,,0.332937
RELA,EP300,,0.0239108
RELA,HDAC1,,0.043955
RELA,TBK1,,0.277756
RELA,TAF1,,0.561127
RELA,ING4,True,0.188961
RELA,SMAD3,,0.594442
RELA,SP3,,0.598835
RELA,STAT6,,0.85922
RELA,SP1,,0.117085
RELA,EGR1,,0.561127
ZBP1,PALD1,True,0.45648
STAT3,NFKB1,,0.45648
STAT3,CEBPB,,0.598835
STAT3,CREBBP,,0.391484
STAT3,PDIA3,,0.598835
STAT3,NCOA1,,0.332937
STAT3,STAT4,,0.85922
STAT3,BRCA1,,0.85922
STAT3,EP300,,0.0697257
STAT3,HDAC1,,0.209129
STAT3,RB1,,0.429349
STAT3,STAT6,,0.594442
STAT3,SP1,,0.298244
STAT3,MET,,0.598835
STAT3,NMI,,0.561127
STAT3,TRIM28,,0.45648
STAT3,PDGFRB,,0.598835
STAT3,NFKBIZ,True,0.344603
LDOC1,MFAP1,True,0.392016
CREBBP,TBP,,0.598835
CREBBP,CEBPB,,0.549451
CREBBP,ATF2,,0.125926
CREBBP,NCOA1,,0.185234
CREBBP,STAT4,,0.85922
CREBBP,BRCA1,,0.066174
CREBBP,EP300,,0.356256
CREBBP,HDAC1,,0.402371
CREBBP,JUNB,,0.598835
CREBBP,SMAD3,,0.0576634
CREBBP,SP3,,0.598835
CREBBP,CEBPA,,0.85922
CREBBP,SPI1,,0.73985
CREBBP,IRF7,,0.549451
CREBBP,STAT6,,0.33064
CREBBP,SP1,,0.298244
CREBBP,EGR1,,0.373779
CREBBP,TRIM28,,0.598835
CREBBP,FHL1,,0.598835
CREBBP,ETS2,,0.222954
CREBBP,CITED2,,0.598835
COL6A3,PDIA3,True,0.561127
COL6A3,DYSF,True,0.63215
SPI1,TBP,True,0.292047
SPI1,NFKB1,,0.85922
SPI1,CEBPB,True,0.549451
SPI1,HDAC1,,0.286822
SPI1,RB1,,0.475767
SPI1,CEBPA,True,0.376755
SPI1,IRF4,True,0.410116
SPI1,ETS2,,0.561127
CASP9,BRCA1,,0.598835
CASP9,RB1,,0.561127
CASP9,CASP3,True,0.069928
RAF1,HRAS,True,0.0111999
RAF1,RB1,True,0.0720105
STAT4,NMI,True,0.585069
STAT4,TRIM28,,0.598835
STAT4,FHL1,True,0.598835
FGB,FBLN1,True,0.561127
FGB,FGA,True,0.359057
NFIL3,FHL1,,0.63215
HRAS,LGALS1,True,0.410771
HRAS,GRB2,,0.85922
CEBPA,CDK4,,0.307298
CEBPA,CEBPB,True,0.317513
CEBPA,ATF2,,0.444259
CEBPA,EP300,,0.85922
CEBPA,HDAC1,,0.290357
CEBPA,RB1,,0.520073
CEBPA,SMAD3,,0.561127
CASP3,BRCA1,,0.830932
CASP3,IL16,,0.794225
CASP3,RB1,,0.370243
CASP3,SP1,,0.561127
EGR1,CEBPB,True,0.323172
EGR1,EP300,True,0.185284
EGR1,SP1,,0.443981
NFKB1,CEBPB,,0.538056
NFKB1,NCOA1,,0.376967
NFKB1,BRCA1,,0.830932
NFKB1,EP300,,0.138546
NFKB1,HDAC1,,0.132777
NFKB1,TBK1,,0.598835
NFKB1,HDAC5,,0.45648
NFKB1,STAT6,,0.441751
NFKB1,SP1,,0.286822
NFKB1,NFKBIZ,True,0.353722
FBLN1,SMAD3,True,0.594442
ANXA5,ATF2,True,0.598835
BRCA1,CDK4,,0.261376
BRCA1,CEBPB,,0.598835
BRCA1,EP300,,0.136491
BRCA1,HDAC1,,0.538056
BRCA1,JUNB,True,0.209228
BRCA1,RB1,,0.204596
BRCA1,SMAD3,,0.332937
BRCA1,SP1,,0.332937
BRCA1,NMI,,0.388167
BRCA1,ZNF423,,0.594442
BRCA1,ZNF350,True,0.218492
BRCA1,HGF,,0.594442
SMAD3,CDK4,,0.520073
SMAD3,CEBPB,,0.561127
SMAD3,ATF2,,0.398358
SMAD3,GRB2,,0.598835
SMAD3,EP300,,0.0263479
SMAD3,HDAC1,,0.393241
SMAD3,JUNB,,0.458237
SMAD3,HDAC5,,0.45648
SMAD3,IRF7,,0.429349
SMAD3,SP1,,0.0929716
SMAD3,FHL1,,0.45648
SMAD3,PPP1R12C,True,0.472754
SMAD3,CITED2,True,0.45648
IGFBP5,FHL1,,0.63215
F2,FGA,True,0.436465
SP1,CDK4,,0.598835
SP1,TBP,,0.594442
SP1,CEBPB,,0.298244
SP1,GRB2,,0.598835
SP1,EP300,,0.0264913
SP1,HDAC1,,0.0160931
SP1,RB1,,0.298244
SP1,SP3,True,0.111007
SP1,FHL1,,0.598835
CDK4,RB1,True,0.0112544
SAP30,HDAC1,True,0.0349369
HDAC5,CIITA,,0.598835
HDAC5,HDAC1,,0.598835
HDAC5,TRIM28,,0.598835
GLI2,HDAC1,True,0.598835
GLI2,SUFU,True,0.561127
SDC2,SERPINA1,True,0.594442
SDC2,HGF,,0.561127
ASCL1,EP300,True,0.585069
CEBPB,ATF2,,0.520073
CEBPB,EP300,,0.274085
CEBPB,HDAC1,,0.410771
CEBPB,RB1,True,0.211006
CEBPB,SP3,True,0.598835
CEBPB,STAT6,,0.830932
CEBPB,TRIM28,,0.441751
RB1,TBP,,0.484455
RB1,ATF2,,0.384055
RB1,EP300,,0.268062
RB1,HDAC1,,0.0113441
RB1,TAF1,True,0.162463
RB1,SP3,,0.85922
RB1,BRF1,True,0.220473
IRF7,EP300,,0.549451
IRF7,TBK1,,0.492041
IRF7,NMI,,0.598835
IRF7,TRIM28,,0.388868
IRF7,PALD1,True,0.45648
SERPINA1,ATP5C1,True,0.594442
SERPINH1,ATF2,True,0.598835
GRB2,PRG4,True,0.598835
GRB2,EP300,,0.594442
GRB2,MET,,0.208053
GRB2,ARHGEF11,,0.598835
GRB2,PDGFRB,,0.268062
LAMA4,FHL1,True,0.63215
HDAC1,TBP,,0.598835
HDAC1,CIITA,,0.561127
HDAC1,EP300,,0.138546
HDAC1,SP3,True,0.115227
HDAC1,TRIM28,,0.312498
HDAC1,NFE4,True,0.441751
FAM9B,MFAP1,True,0.392016
TBK1,STAT6,,0.561127
ING4,EGLN1,True,0.296081
ING4,EP300,,0.598835
TBP,NCOA1,,0.561127
TBP,EP300,,0.520073
TBP,TAF1,True,0.0452029
TBP,BRF1,True,0.185234
TBP,CITED2,,0.561127
NCOA1,CIITA,,0.45648
NCOA1,EP300,,0.318238
NCOA1,STAT6,True,0.0831664
MFAP1,TRIM42,True,0.443583
EP300,ATF2,,0.654948
EP300,JUNB,True,0.243823
EP300,SP3,,0.256637
EP300,STAT6,,0.357984
EP300,FHL1,,0.598835
EP300,ETS2,,0.266572
EP300,CITED2,True,0.0877233
PDIA3,ATF2,True,0.598835
ATF2,JUNB,,0.552121
ATF2,ATP5C1,,0.598835
STAT6,NMI,,0.598835
STAT6,TRIM28,,0.598835
STAT6,IRF4,True,0.323872
IL16,PPP1R12C,True,0.425588
MET,HGF,True,0.0715013
TRIM28,ZNF350,True,0.194233
PDGFRB,PDGFB,True,0.0717395
